FrameID	Timestamp(s)	Delta(ms)	LocalDelta(ms)	Irregular?
309875	1291.145833	4.166667	4.705911	
309876	1291.150000	4.166667	4.407474	
309877	1291.154167	4.166667	2.435657	
309878	1291.158333	4.166667	4.176935	
309879	1291.162500	4.166667	4.857498	
309880	1291.166667	4.166667	4.224701	
309881	1291.170833	4.166667	3.435974	
309882	1291.175000	4.166667	7.089855	
309883	1291.179167	4.166667	3.049506	
309884	1291.183333	4.166667	2.932263	
309885	1291.187500	4.166667	3.612826	
309886	1291.191667	4.166667	4.227070	
309887	1291.195833	4.166667	6.753521	
309888	1291.200000	4.166667	2.596324	
309889	1291.204167	4.166667	4.353392	
309890	1291.208333	4.166667	3.300572	
309891	1291.212500	4.166667	5.864526	
309892	1291.216667	4.166667	4.469846	
309893	1291.220833	4.166667	3.177803	
309894	1291.225000	4.166667	3.647170	
309895	1291.229167	4.166667	8.354265	
309896	1291.233333	4.166667	3.576114	
309897	1291.237500	4.166667	4.218780	
309898	1291.241667	4.166667	3.676777	
309899	1291.245833	4.166667	5.045403	
309900	1291.250000	4.166667	3.670461	
309901	1291.254167	4.166667	3.363339	
309902	1291.258333	4.166667	2.908578	
309903	1291.262500	4.166667	5.556220	
309904	1291.266667	4.166667	3.385840	
309905	1291.270833	4.166667	2.800809	
309906	1291.275000	4.166667	3.517689	
309907	1291.279167	4.166667	6.453505	
309908	1291.283333	4.166667	3.965345	
309909	1291.287500	4.166667	2.983976	
309910	1291.291667	4.166667	3.213726	
309911	1291.295833	4.166667	3.997715	
309912	1291.300000	4.166667	5.535693	
309913	1291.304167	4.166667	3.373208	
309914	1291.308333	4.166667	4.394447	
309915	1291.312500	4.166667	4.921844	
309916	1291.316667	4.166667	4.522743	
309917	1291.320833	4.166667	3.632169	
309918	1291.325000	4.166667	3.196751	
309919	1291.329167	4.166667	4.232596	
309920	1291.333333	4.166667	4.419317	
309921	1291.337500	4.166667	3.514136	
309922	1291.341667	4.166667	3.841786	
309923	1291.345833	4.166667	5.912292	
309924	1291.350000	4.166667	6.724704	
309925	1291.354167	4.166667	2.909762	
309926	1291.358333	4.166667	3.950344	
309929	1291.370833	12.500000	11.591282	1
309930	1291.375000	4.166667	4.468662	
309931	1291.379167	4.166667	8.687441	
309932	1291.383333	4.166667	2.894366	
309933	1291.387500	4.166667	2.934632	
309934	1291.391667	4.166667	5.623329	
309935	1291.395833	4.166667	3.371234	
309936	1291.400000	4.166667	2.840284	
309937	1291.404167	4.166667	3.205041	
309938	1291.408333	4.166667	2.119061	
309939	1291.412500	4.166667	5.779653	
309940	1291.416667	4.166667	3.023452	
309941	1291.420833	4.166667	3.389788	
309942	1291.425000	4.166667	4.141407	
309943	1291.429167	4.166667	7.696204	
309944	1291.433333	4.166667	3.229516	
309945	1291.437500	4.166667	14.115760	
309946	1291.441667	4.166667	3.306888	
309947	1291.445833	4.166667	2.939369	
309948	1291.450000	4.166667	2.491713	
309949	1291.454167	4.166667	4.302074	
309950	1291.458333	4.166667	3.985478	
309951	1291.462500	4.166667	5.583853	
309952	1291.466667	4.166667	2.751859	
309953	1291.470833	4.166667	5.022507	
309954	1291.475000	4.166667	4.720517	
309955	1291.479167	4.166667	4.998032	
309957	1291.487500	8.333333	4.210095	1
309958	1291.491667	4.166667	5.289758	
309960	1291.500000	8.333333	3.574534	1
309961	1291.504167	4.166667	5.205675	
309962	1291.508333	4.166667	7.364607	
309963	1291.512500	4.166667	3.250438	
309964	1291.516667	4.166667	3.597430	
309965	1291.520833	4.166667	3.854023	
309966	1291.525000	4.166667	10.274763	
309968	1291.533333	8.333333	4.291415	1
309969	1291.537500	4.166667	3.101220	
309970	1291.541667	4.166667	4.202989	
309971	1291.545833	4.166667	4.063245	
309972	1291.550000	4.166667	6.143225	
309973	1291.554167	4.166667	3.357812	
309974	1291.558333	4.166667	4.090878	
309975	1291.562500	4.166667	3.068060	
309976	1291.566667	4.166667	2.678828	
309977	1291.570833	4.166667	3.006478	
309978	1291.575000	4.166667	5.083300	
309979	1291.579167	4.166667	5.165410	
309980	1291.583333	4.166667	2.940553	
309981	1291.587500	4.166667	2.945290	
309982	1291.591667	4.166667	4.108247	
309983	1291.595833	4.166667	5.564510	
309984	1291.600000	4.166667	3.253201	
309985	1291.604167	4.166667	3.656644	
309986	1291.608333	4.166667	3.439527	
309987	1291.612500	4.166667	3.502294	
309988	1291.616667	4.166667	7.912136	
309989	1291.620833	4.166667	2.816599	
309990	1291.625000	4.166667	5.094353	
309991	1291.629167	4.166667	3.193198	
309992	1291.633333	4.166667	4.263782	
309993	1291.637500	4.166667	4.451687	
309994	1291.641667	4.166667	5.269231	
309995	1291.645833	4.166667	4.767888	
309996	1291.650000	4.166667	3.422553	
309997	1291.654167	4.166667	3.237016	
309998	1291.658333	4.166667	7.884503	
309999	1291.662500	4.166667	3.255965	
310000	1291.666667	4.166667	3.025426	
310001	1291.670833	4.166667	3.013978	
310002	1291.675000	4.166667	10.264105	
310003	1291.679167	4.166667	3.151354	
310004	1291.683333	4.166667	2.999372	
310005	1291.687500	4.166667	4.821575	
310006	1291.691667	4.166667	3.458081	
310007	1291.695833	4.166667	3.390577	
310008	1291.700000	4.166667	3.797968	
310009	1291.704167	4.166667	7.719889	
310010	1291.708333	4.166667	3.166749	
310011	1291.712500	4.166667	3.232279	
310012	1291.716667	4.166667	2.853706	
310013	1291.720833	4.166667	3.665724	
310014	1291.725000	4.166667	3.829153	
310015	1291.729167	4.166667	3.733622	
310016	1291.733333	4.166667	6.436136	
310017	1291.737500	4.166667	6.943400	
310018	1291.741667	4.166667	3.569403	
310019	1291.745833	4.166667	2.972923	
310020	1291.750000	4.166667	3.418210	
310021	1291.754167	4.166667	4.858288	
310022	1291.758333	4.166667	2.996609	
310023	1291.762500	4.166667	3.884025	
310024	1291.766667	4.166667	10.288185	
310027	1291.779167	12.500000	4.289047	1
310028	1291.783333	4.166667	3.016741	
310029	1291.787500	4.166667	2.992661	
310030	1291.791667	4.166667	4.648276	
310031	1291.795833	4.166667	2.893972	
310032	1291.800000	4.166667	4.324180	
310033	1291.804167	4.166667	4.801048	
310034	1291.808333	4.166667	4.758809	
310035	1291.812500	4.166667	3.479398	
310036	1291.816667	4.166667	2.936211	
310037	1291.820833	4.166667	2.928710	
310038	1291.825000	4.166667	3.072402	
310039	1291.829167	4.166667	5.005927	
310040	1291.833333	4.166667	3.810600	
310041	1291.837500	4.166667	5.479637	
310042	1291.841667	4.166667	5.710570	
310043	1291.845833	4.166667	4.172593	
310044	1291.850000	4.166667	4.025743	
310045	1291.854167	4.166667	2.665407	
310046	1291.858333	4.166667	3.756123	
310047	1291.862500	4.166667	9.002458	
310048	1291.866667	4.166667	2.867128	
310049	1291.870833	4.166667	3.355049	
310050	1291.875000	4.166667	4.134301	
310051	1291.879167	4.166667	3.276492	
310052	1291.883333	4.166667	4.409448	
310053	1291.887500	4.166667	3.426105	
310054	1291.891667	4.166667	3.982714	
310055	1291.895833	4.166667	4.108247	
310056	1291.900000	4.166667	3.745859	
310057	1291.904167	4.166667	4.308390	
310058	1291.908333	4.166667	2.637774	
310059	1291.912500	4.166667	5.711755	
310060	1291.916667	4.166667	3.858366	
310061	1291.920833	4.166667	3.840996	
310062	1291.925000	4.166667	3.619537	
310063	1291.929167	4.166667	8.780209	
310064	1291.933333	4.166667	2.866338	
310065	1291.937500	4.166667	3.422553	
310066	1291.941667	4.166667	4.602090	
310067	1291.945833	4.166667	3.730069	
310068	1291.950000	4.166667	5.428318	
310069	1291.954167	4.166667	2.973713	
310070	1291.958333	4.166667	4.732755	
310071	1291.962500	4.166667	3.070428	
310072	1291.966667	4.166667	3.136748	
310073	1291.970833	4.166667	3.090166	
310074	1291.975000	4.166667	3.687830	
310075	1291.979167	4.166667	5.750836	
310076	1291.983333	4.166667	4.111800	
310077	1291.987500	4.166667	3.168328	
310078	1291.991667	4.166667	2.972134	
310079	1291.995833	4.166667	5.446477	
310080	1292.000000	4.166667	3.704805	
310081	1292.004167	4.166667	3.062533	
310082	1292.008333	4.166667	3.530716	
310083	1292.012500	4.166667	8.511379	
310084	1292.016667	4.166667	2.904235	
310085	1292.020833	4.166667	2.931868	
310086	1292.025000	4.166667	7.355527	
310087	1292.029167	4.166667	4.154039	
310088	1292.033333	4.166667	3.173460	
310089	1292.037500	4.166667	2.456580	
310090	1292.041667	4.166667	2.832784	
310091	1292.045833	4.166667	6.175990	
310092	1292.050000	4.166667	5.854262	
310093	1292.054167	4.166667	3.790072	
310094	1292.058333	4.166667	5.620960	
310095	1292.062500	4.166667	3.467950	
310096	1292.066667	4.166667	4.285099	
310097	1292.070833	4.166667	2.930684	
310098	1292.075000	4.166667	5.460294	
310099	1292.079167	4.166667	3.302546	
310100	1292.083333	4.166667	3.967319	
310101	1292.087500	4.166667	3.600589	
310102	1292.091667	4.166667	3.480977	
310103	1292.095833	4.166667	4.448134	
310104	1292.100000	4.166667	4.446160	
310105	1292.104167	4.166667	3.783361	
310106	1292.108333	4.166667	3.750202	
310107	1292.112500	4.166667	3.927053	
310108	1292.116667	4.166667	4.458398	
310109	1292.120833	4.166667	4.202595	
310110	1292.125000	4.166667	3.557955	
310111	1292.129167	4.166667	4.569720	
310112	1292.133333	4.166667	3.627432	
310113	1292.137500	4.166667	5.479637	
310114	1292.141667	4.166667	2.965423	
310115	1292.145833	4.166667	4.505374	
310116	1292.150000	4.166667	4.899343	
310117	1292.154167	4.166667	3.109509	
310118	1292.158333	4.166667	3.732832	
310119	1292.162500	4.166667	9.439850	
310120	1292.166667	4.166667	3.633353	
310121	1292.170833	4.166667	3.690199	
310122	1292.175000	4.166667	5.406607	
310123	1292.179167	4.166667	4.395237	
310124	1292.183333	4.166667	3.169513	
310125	1292.187500	4.166667	2.965028	
310126	1292.191667	4.166667	5.276337	
310127	1292.195833	4.166667	3.805073	
310128	1292.200000	4.166667	4.161145	
310129	1292.204167	4.166667	3.386235	
310130	1292.208333	4.166667	6.643384	
310131	1292.212500	4.166667	3.300572	
310132	1292.216667	4.166667	3.575324	
310133	1292.220833	4.166667	3.416236	
310134	1292.225000	4.166667	6.158621	
310135	1292.229167	4.166667	3.157670	
310136	1292.233333	4.166667	3.071613	
310137	1292.237500	4.166667	3.226753	
310138	1292.241667	4.166667	6.510350	
310139	1292.245833	4.166667	4.946714	
310140	1292.250000	4.166667	3.439132	
310141	1292.254167	4.166667	4.503005	
310142	1292.258333	4.166667	4.339576	
310143	1292.262500	4.166667	3.298599	
310144	1292.266667	4.166667	2.978450	
310145	1292.270833	4.166667	3.000951	
